ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-11-01,19775462.707473483,-24832883.121838383,130145810.18228345,19775462.707473483,19775462.707473483,30220033.194061566,30220033.194061566,30220033.194061566,30220033.194061566,30220033.194061566,30220033.194061566,0.0,0.0,0.0,49995495.90153505
2015-12-01,18997361.238302343,6248484.411726392,153572733.38240913,18997361.238302343,18997361.238302343,62843905.88924115,62843905.88924115,62843905.88924115,62843905.88924115,62843905.88924115,62843905.88924115,0.0,0.0,0.0,81841267.1275435
2016-01-01,18193323.055087548,-112056841.43311879,40050075.987937674,18193323.055087548,18193323.055087548,-50842920.94113286,-50842920.94113286,-50842920.94113286,-50842920.94113286,-50842920.94113286,-50842920.94113286,0.0,0.0,0.0,-32649597.88604531
2016-02-01,17389284.871872745,-95161394.9654899,59359031.66965604,17389284.871872745,17389284.871872745,-35157914.44358232,-35157914.44358232,-35157914.44358232,-35157914.44358232,-35157914.44358232,-35157914.44358232,0.0,0.0,0.0,-17768629.571709573
2016-03-01,16637095.477985714,-52454080.176753536,97607132.28870948,16637095.477985714,16637095.477985714,5340847.826753477,5340847.826753477,5340847.826753477,5340847.826753477,5340847.826753477,5340847.826753477,0.0,0.0,0.0,21977943.304739192
2016-04-01,15833030.953485781,-69799711.18672656,77622434.1238471,15833030.953485781,15833030.953485781,-13895395.233202908,-13895395.233202908,-13895395.233202908,-13895395.233202908,-13895395.233202908,-13895395.233202908,0.0,0.0,0.0,1937635.7202828731
2016-05-01,15054903.993282625,-59275335.40724836,88740123.82929519,15054903.993282625,15054903.993282625,1323100.183955121,1323100.183955121,1323100.183955121,1323100.183955121,1323100.183955121,1323100.183955121,0.0,0.0,0.0,16378004.177237747
2016-06-01,14250839.467739359,-28812799.795762666,115986783.60688637,14250839.467739359,14250839.467739359,25346085.60540865,25346085.60540865,25346085.60540865,25346085.60540865,25346085.60540865,25346085.60540865,0.0,0.0,0.0,39596925.07314801
2016-07-01,13472712.503984716,-37092462.72856761,111784658.3389223,13472712.503984716,13472712.503984716,22362845.592169903,22362845.592169903,22362845.592169903,22362845.592169903,22362845.592169903,22362845.592169903,0.0,0.0,0.0,35835558.096154615
2016-08-01,12668647.976467445,-25865913.06940205,123212113.85548384,12668647.976467445,12668647.976467445,39986400.649189875,39986400.649189875,39986400.649189875,39986400.649189875,39986400.649189875,39986400.649189875,0.0,0.0,0.0,52655048.62565732
