ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-09-01,36999867.684182964,-125339155.61397356,204390452.86583084,36999867.684182964,36999867.684182964,2351102.0858134334,2351102.0858134334,2351102.0858134334,2351102.0858134334,2351102.0858134334,2351102.0858134334,0.0,0.0,0.0,39350969.7699964
2013-10-01,37530170.918559,-111911986.93185782,222287882.01730126,37530170.918559,37530170.918559,23297343.43688534,23297343.43688534,23297343.43688534,23297343.43688534,23297343.43688534,23297343.43688534,0.0,0.0,0.0,60827514.35544434
2013-11-01,38078150.927414246,-140123349.11018378,215644183.2699037,38078150.927414246,38078150.927414246,6529085.020848973,6529085.020848973,6529085.020848973,6529085.020848973,6529085.020848973,6529085.020848973,0.0,0.0,0.0,44607235.94826322
2013-12-01,38608454.19120064,-111000945.34863225,210825322.4046079,38608454.19120064,38608454.19120064,9684754.38457118,9684754.38457118,9684754.38457118,9684754.38457118,9684754.38457118,9684754.38457118,0.0,0.0,0.0,48293208.575771816
2014-01-01,39156434.23044658,-161868914.9259001,174680509.98882145,39156434.23044658,39156434.23044658,-27514737.159514904,-27514737.159514904,-27514737.159514904,-27514737.159514904,-27514737.159514904,-27514737.159514904,0.0,0.0,0.0,11641697.070931673
2014-02-01,39704414.26969252,-159167531.71849713,168884167.90064675,39704414.26969252,39704414.26969252,-33626476.08401939,-33626476.08401939,-33626476.08401939,-33626476.08401939,-33626476.08401939,-33626476.08401939,0.0,0.0,0.0,6077938.185673125
2014-03-01,40199363.982559815,-154707751.08233306,181804094.14774138,40199363.982559815,40199363.982559815,-31993977.214459356,-31993977.214459356,-31993977.214459356,-31993977.214459356,-31993977.214459356,-31993977.214459356,0.0,0.0,0.0,8205386.768100459
2014-04-01,40747344.01246879,-114264191.97529303,211901354.8906387,40747344.01246879,40747344.01246879,8507663.875613099,8507663.875613099,8507663.875613099,8507663.875613099,8507663.875613099,8507663.875613099,0.0,0.0,0.0,49255007.88808189
2014-05-01,41277647.26721943,-117177262.98287389,222008442.75520647,41277647.26721943,41277647.26721943,12205148.702045238,12205148.702045238,12205148.702045238,12205148.702045238,12205148.702045238,12205148.702045238,0.0,0.0,0.0,53482795.96926467
2014-06-01,41825627.29712841,-119290118.39918941,209549226.42887747,41825627.29712841,41825627.29712841,3410178.9851712342,3410178.9851712342,3410178.9851712342,3410178.9851712342,3410178.9851712342,3410178.9851712342,0.0,0.0,0.0,45235806.282299645
2014-07-01,42355930.559020355,-100304318.86632058,224638943.12921825,42355930.559020355,42355930.559020355,21096854.80419654,21096854.80419654,21096854.80419654,21096854.80419654,21096854.80419654,21096854.80419654,0.0,0.0,0.0,63452785.36321689
2014-08-01,42903910.596308716,-116246005.15587564,211635528.8397602,42903910.596308716,42903910.596308716,7728530.274947231,7728530.274947231,7728530.274947231,7728530.274947231,7728530.274947231,7728530.274947231,0.0,0.0,0.0,50632440.87125595
2014-09-01,43451890.63359705,-127724723.86756231,215162777.21413565,43451890.63359705,43451890.63359705,1933397.822284768,1933397.822284768,1933397.822284768,1933397.822284768,1933397.822284768,1933397.822284768,0.0,0.0,0.0,45385288.45588182
2014-10-01,43982193.89548901,-87613914.43312179,238166413.30224282,43982193.89548901,43982193.89548901,23857731.08262401,23857731.08262401,23857731.08262401,23857731.08262401,23857731.08262401,23857731.08262401,0.0,0.0,0.0,67839924.97811303
2014-11-01,44530172.62831869,-111150478.53951852,218844700.21086654,44530172.62831869,44530172.62831869,6834262.945973661,6834262.945973661,6834262.945973661,6834262.945973661,6834262.945973661,6834262.945973661,0.0,0.0,0.0,51364435.57429235
2014-12-01,45060474.62783127,-93027674.09674507,215253093.20414957,45060474.62783127,45060474.62783127,10187545.564499687,10187545.564499687,10187545.564499687,10187545.564499687,10187545.564499687,10187545.564499687,0.0,0.0,0.0,55248020.19233096
2015-01-01,45608453.360660955,-143913753.67095932,177971957.98359627,45608453.360660955,45608453.360660955,-28161043.533794254,-28161043.533794254,-28161043.533794254,-28161043.533794254,-28161043.533794254,-28161043.533794254,0.0,0.0,0.0,17447409.8268667
2015-02-01,46156432.093490615,-154456725.94151655,156925120.9233867,46156432.093490615,46156432.093490615,-33756453.6196291,-33756453.6196291,-33756453.6196291,-33756453.6196291,-33756453.6196291,-33756453.6196291,0.0,0.0,0.0,12399978.473861516
2015-03-01,46651380.626003854,-143493604.67001662,178413570.61914483,46651380.626003854,46651380.626003854,-32266518.460953563,-32266518.460953563,-32266518.460953563,-32266518.460953563,-32266518.460953563,-32266518.460953563,0.0,0.0,0.0,14384862.16505029
2015-04-01,47199359.35842922,-104920192.63226674,222802409.43220842,47199359.35842922,47199359.35842922,9083103.83307555,9083103.83307555,9083103.83307555,9083103.83307555,9083103.83307555,9083103.83307555,0.0,0.0,0.0,56282463.19150478
2015-05-01,47729661.35755055,-103797661.38948137,243817409.75646734,47729661.35755055,47729661.35755055,12300779.966407306,12300779.966407306,12300779.966407306,12300779.966407306,12300779.966407306,12300779.966407306,0.0,0.0,0.0,60030441.32395785
2015-06-01,48277640.089975916,-109426727.81254289,217881435.96167764,48277640.089975916,48277640.089975916,2992970.921538634,2992970.921538634,2992970.921538634,2992970.921538634,2992970.921538634,2992970.921538634,0.0,0.0,0.0,51270611.01151455
2015-07-01,48807941.99229747,-108065452.91133694,230245494.78423786,48807941.99229747,48807941.99229747,21180705.62969889,21180705.62969889,21180705.62969889,21180705.62969889,21180705.62969889,21180705.62969889,0.0,0.0,0.0,69988647.62199636
